Indicator,Taxonomic Level,"Matching EFG, Biome","Matching EFG, Biome (full name)",Notes,Ecoregions,pallete,Reference,Region
Sphagnum capillifolium,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Sphagnum cuspidatum,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Sphagnum majus,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Sphagnum tenellum,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Vaccinium vitis-idaea,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Warnstorfia fluitans,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Sphagnum fuscum,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Agonum ericeti,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Somatochlora arctica,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Sympetrum danae,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Agonum ericeti,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
