Indicator,Taxonomic Level,"Matching EFG, Biome","Matching EFG, Biome (full name)",Notes,Ecoregions,pallete,Reference,Region
Wrightia pubescens,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Wrightia viridiflora,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Alstonia rostrata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ilex umbellulata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Schefflera elliptica,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Stereospermum colais,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Markhamia stipulata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Fernandoa adenophylla,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Stereospermum cylindricum,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Cordia clarkei,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Cordia dichotoma,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Garuga floribunda,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Canarium subulatum,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Canarium euphyllum,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Garuga pinnata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Protium serratum,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Celtis tetrandra,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Celtis cf. philippensis,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Trema orientalis,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Crateva magna,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Glyptopetalum sclerocarpum,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Lophopetalum wallichii,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Siphonodon celastrineus,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Salacia chinensis,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Garcinia merguensis,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Garcinia speciosa,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Cratoxylum formosum,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Garcinia cowa,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Cratoxylum cochinchinense,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Terminalia bellirica,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Anogeissus acuminata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Terminalia triptera,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ellipanthus tomentosus,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Alangium chinense,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Alangium kurzii,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Dichapetalum gelanioides,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Dillenia indica,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Dillenia obovata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Shorea roxburghii,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Vatica harmandiana,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Dipterocarpus obtusifolius,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Anisoptera costata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Hopea odorata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Shorea siamensis,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Diospyros dasyphylla,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Diospyros coaetanea,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Diospyros variegata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Diospyros ferrea,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Diospyros montana,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Diospyros winitii,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Elaeocarpus robustus,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Elaeocarpus lanceifolius,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Elaeocarpus stipularis,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Croton roxburghii,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Sapium insigne,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Cladogynos orientalis,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Trewia nudiflora,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Macaranga siamensis,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Claoxylon indicum,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Mallotus barbatus,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Croton hutchinsonianus,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Cleidion spiciflorum,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Suregada multiflorum,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Mallotus philippensis,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Balakata baccata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Sumbaviopsis albicans,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Alchornea rugosa,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Acrocarpus fraxinifolius,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Senna timoriensis,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Cassia fistula,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Afzelia xylocarpa,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Adenanthera pavonina,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Albizia odoratissima,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Parkia leiophylla,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Albizia lucidior,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Albizia chinensis,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Erythrina stricta,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Dalbergia cana,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Derris dalbergioides,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Dalbergia cochinchinensis,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Pterocarpus macrocarpus,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Dalbergia assamica,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Millettia leucantha,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Castanopsis tribuloides,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Lithocarpus grandifolius,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Lithocarpus cf. thomsonii,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Lithocarpus sp.1,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Apodytes dimidiata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Nothapodytes foetida,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Irvingia malayana,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Engelhardia spicata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Vitex scabra,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Vitex limonifolia,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Vitex canescens,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Vitex peduncularis,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Premna villosa,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Callicarpa arborea,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Gmelina arborea,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Vitex glabrata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Vitex quinata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Premna pyramidata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Cinnamomum tavoyanum,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Cinnamomum porrectum,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Phoebe paniculata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Beilschmiedia fagifolia,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Neolitsea obtusifolia,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Persea cf. declinata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Beilschmiedia gammieana,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Litsea glutinosa,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Litsea grandis,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Beilschmiedia velutinosa,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Neocinnamomum caudatum,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Careya sphaerica,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Lagerstroemia balansae,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Lagerstroemia calyculata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Lagerstroemia tomentosa,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Lagerstroemia macrocarpa,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Lagerstroemia venusta,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Duabanga grandiflora,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Lagerstroemia villosa,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Maesa montana,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Michelia baillonii,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Firmiana pallens,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Colona floribunda,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Pterospermum cinnamomeum,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Sterculia guttata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Pterospermum grandiflorum,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Microcos tomentosa,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Colona javanica,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Sterculia hypochra,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Microcos paniculata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Helicteres viscida,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Helicteres elongata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Pterocymbium tinctorium,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Grewia hirsuta,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Memecylon plebejum,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Memecylon ovatum,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Melia azedarach,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Aglaia odorata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Aphanamixis polystachya,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Aglaia spectabilis,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Dysoxylum grande,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Aglaia lawii,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Chukrasia tabularis,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Heynea trijuga,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Dysoxylum cyrtobotryum,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Toona ciliata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ficus sp.04,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ficus capillipes,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ficus callosa,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ficus heterostyla,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ficus curtipes,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Artocarpus gomezianus,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ficus sp.06,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ficus vasculosa,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ficus retusa,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ficus calcicola,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ficus sp.05,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ficus annulata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ficus virens,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ficus albipila,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ficus altissima,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Morus macroura,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ficus kurzii,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Artocarpus chaplasha,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ficus geniculata,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ficus sp.1,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Artocarpus lacucha,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ficus racemosa,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ficus drupacea,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Horsfieldia glabra,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Knema globularia,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
Ardisia polycephala,Species,T1.2,Tropical/Subtropical dry forests and thickets,,,#52BC85,https://forestgeo.si.edu/sites/asia/huai-kha-khaeng,Thailand
